individual,sequence_yield_megabases
etort-1,2737
etort-2,2470
etort-3,2777
etort-4,3283
etort-5,2902
etort-6,7195
etort-7,3795
etort-8,2867
etort-9,2643
etort-10,2576
etort-11,3235
etort-12,2979
etort-13,2876
etort-14,3107
etort-15,3609
etort-16,8961
etort-17,3334
etort-18,3079
etort-19,3204
etort-20,3213
etort-21,3066
etort-22,2599
etort-23,3644
etort-24,3122
etort-25,4275
etort-26,3657
etort-27,4498
etort-28,4395
etort-30,3085
etort-31,8360
etort-32,2814
etort-33,3336
etort-34,3434
etort-35,3447
etort-36,3816
etort-37,4377
etort-38,3995
etort-39,3566
etort-40,3787
etort-41,6959
etort-42,2755
etort-43,3864
etort-44,3151
etort-45,2834
etort-46,2157
etort-47,2323
etort-48,2360
etort-49,3949
etort-50,2708
etort-51,10906
etort-52,4196
etort-53,4151
etort-54,2573
etort-55,2979
etort-56,2821
etort-57,3655
etort-58,4606
etort-59,3512
etort-60,2994
etort-61,7860
etort-62,4501
etort-63,4683
etort-64,4473
etort-65,4186
etort-66,3809
etort-67,6414
etort-68,3940
etort-69,3276
etort-70,3170
etort-71,3144
etort-72,3407
etort-73,2847
etort-74,6682
etort-75,5341
etort-76,5177
etort-77,3321
etort-78,3022
etort-79,3019
etort-80,2944
etort-81,2710
etort-82,3647
etort-83,3213
etort-84,3393
etort-85,3539
etort-86,2947
etort-87,2908
etort-88,2947
etort-89,3554
etort-90,6835
etort-91,4957
etort-92,2440
etort-93,2924
etort-94,2996
etort-95,3424
etort-96,3897
etort-97,5286
etort-98,5631
etort-99,4812
etort-100,6707
etort-102,803
etort-103,834
etort-104,1844
etort-105,1132
etort-106,1161
etort-107,559
etort-108,527
etort-109,671
etort-110,11735
etort-111,5059
etort-112,5303
etort-113,5359
etort-115,5224
etort-116,2862
etort-117,3201
etort-119,3903
etort-120,3648
etort-121,3216
etort-122,4168
etort-123,3616
etort-124,3131
etort-125,4157
etort-126,4087
etort-127,7904
etort-128,3162
etort-129,3607
etort-130,4353
etort-131,3639
etort-132,4194
etort-133,4160
etort-134,4019
etort-135,3551
etort-136,3783
etort-137,6468
etort-138,4686
etort-139,4325
etort-140,4237
etort-141,8204
etort-142,3327
etort-143,3889
etort-144,3049
etort-145,2470
etort-146,3411
etort-147,4361
etort-148,3630
etort-149,3436
etort-150,3802
etort-151,8085
etort-152,3391
etort-153,3540
etort-154,4326
etort-155,3654
etort-156,3827
etort-157,4466
etort-158,3684
etort-159,3572
etort-161,3991
etort-162,6904
etort-163,4327
etort-164,3947
etort-166,3731
etort-167,3863
etort-168,4904
etort-169,4494
etort-170,4240
etort-172,3584
etort-173,4313
etort-174,6332
etort-175,3720
etort-176,3484
etort-177,3891
etort-178,3848
etort-179,4376
etort-180,3716
etort-181,3757
etort-182,3848
etort-183,7147
etort-184,4135
etort-185,4524
etort-186,3418
etort-187,4167
