"ref","area"
1,911
2,1028
3,965
4,814
5,755
6,163
7,674
8,777
9,923
10,880
11,800
12,598
13,661
14,833
15,760
16,1074
17,1180
18,806
19,917
20,858
21,625
22,681
23,751
24,711
25,753
26,591
27,601
28,759
29,383
30,853
31,600
32,625
33,800
34,571
35,769
36,1219
37,735
38,702
39,733
40,823
41,899
42,791
43,948
44,661
45,736
46,719
47,537
48,701
49,817
50,1184
51,483
52,621
53,615
54,522
55,572
56,586
57,559
58,658
59,489
60,780
61,655
62,544
63,620
64,1002
65,565
66,573
67,507
68,991
69,556
70,589
71,889
72,606
73,576
74,619
75,911
76,423
77,481
78,532
79,703
80,636
81,796
82,530
83,724
84,725
85,572
86,825
87,644
88,572
89,534
90,386
91,520
92,404
93,622
94,478
95,643
96,830
97,503
98,797
99,900
100,961
101,1040
102,569
103,598
104,340
105,653
106,361
107,1480
108,847
109,580
110,725
111,786
112,647
113,644
114,798
115,666
116,539
117,532
118,500
119,677
120,520
121,618
122,733
123,619
124,602
125,765
126,793
127,949
128,746
129,456
130,759
131,554
132,618
133,603
134,748
135,1646
136,2379
137,340
138,805
139,613
140,628
141,702
142,767
143,770
144,606
145,562
146,325
147,410
148,516
149,778
150,569
151,442
152,745
153,532
154,840
155,788
156,514
157,855
158,721
159,376
160,679
161,880
162,634
163,688
164,720
165,514
166,476
167,471
168,504
169,334
170,787
171,587
172,581
173,643
174,814
175,902
176,548
177,273
178,626
179,566
180,241
181,1129
182,698
183,574
184,563
185,591
186,500
187,445
188,993
189,484
190,540
191,663
192,556
193,505
194,240
195,1347
196,679
197,631
198,536
199,574
200,536
201,364
202,427
