"","12947 1,12948 1,12949 1,355 1","1397 1,12120 1,10969 1,10970 1","1435 1","1438 1,1439 1","1442 1","1652 1,1786 1,560 1,1783 1,1784 1","472 1,5792 1,5796 1,8013 1","473 1,5865 1","477 1","478 1","601 1","7 1,81 1","6194 1,6126 1"
"12947 1,12948 1,12949 1,355 1",0,1,0,1,0,1,0,0,1,0,0,0,0
"1397 1,12120 1,10969 1,10970 1",1,0,1,1,0,0,0,0,0,0,0,0,0
"1435 1",0,1,0,1,1,0,0,0,0,0,0,0,0
"1438 1,1439 1",1,1,1,0,1,0,0,1,1,0,0,0,1
"1442 1",0,0,1,1,0,0,0,0,0,0,0,0,0
"1652 1,1786 1,560 1,1783 1,1784 1",1,0,0,0,0,0,0,0,1,0,0,1,0
"472 1,5792 1,5796 1,8013 1",0,0,0,0,0,0,0,1,0,0,1,0,0
"473 1,5865 1",0,0,0,1,0,0,1,0,0,0,1,0,1
"477 1",1,0,0,1,0,1,0,0,0,1,1,1,1
"478 1",0,0,0,0,0,0,0,0,1,0,1,1,0
"601 1",0,0,0,0,0,0,1,1,1,1,0,0,1
"7 1,81 1",0,0,0,0,0,1,0,0,1,1,0,0,0
"6194 1,6126 1",0,0,0,1,0,0,0,1,1,0,1,0,0
